export_name,key,question,context,fieldTitle
PreviousAddressPostalCode,50918250-0ed9-45dd-b923-a742e23eb4e6_In_which_postal_code_is_your_previous_address_if_a,"In which postal code is your previous address, if applicable?",,Postal Code
PreviousAddressCountry,3cc7ca2a-4da9-4ce7-9072-f6da69a0df23_In_which_country_is_your_previous_address,In which country is your previous address?,,Country
PreviousAddressStartDate,b68007f2-fa63-4f3b-87fb-7d126d203402_When_did_you_start_living_at_this_previous_address,"In which state or province is your previous address, if applicable?",,From (MM/DD/YYYY)
PreviousAddressEndDate,fca6de84-4c82-4c26-bad5-806a2794e900_When_did_you_stop_living_at_this_previous_address,"In which state or province is your previous address, if applicable?",,To (MM/DD/YYYY)
PreviousMarriageDateNew,f090138b-b9cb-47da-a06a-8e758a2f81b5_When_did_you_and_your_former_spouse_get_married,When did you and your former spouse get married?,,Marriage date
PreviousMarriageCityNew,06cc1f71-09c2-4f89-87f8-b97c775feb80_In_which_city_did_you_and_your_former_spouse_get_m,In which city did you and your former spouse get married?,,Marriage city
PreviousMarriageProvince,5e96c893-346d-46e8-ab10-5881b9f20391_In_which_province_did_you_and_your_former_spouse_g,In which province did you and your former spouse get married?,,Marriage province
PreviousMarriageCountryNew,a18cd19e-3384-4a93-9c15-e780fb13119d_In_which_country_did_you_and_your_former_spouse_ge,In which country did you and your former spouse get married?,,Marriage country
PreviousSpouseMiddleName,db37f2ff-a9bf-4c8c-9d5d-d4f66db70aca_What_is_your_previous_spouses_middle_name,What is your previous spouse's middle name?,,Middle name
PreviousSpouseLastName,187b0108-abaf-4b2e-9473-b31724193cff_What_is_your_previous_spouses_last_name,What is your previous spouse's last name?,,Last name
PreviousSpouseDateOfBirth,050086a3-82f6-4651-9670-905d7493091f_What_is_your_former_spouses_date_of_birth,What is your former spouse's date of birth?,,Date of birth
PreviousMarriageTerminationDate,PREVIOUS_MARRIAGE_END_DATE,When did your marriage to your former spouse end?,,Marriage end date
PreviousMarriageTerminationCity,e3775988-5e9b-478b-b206-ea9e6e820a2a_In_which_city_or_town_did_your_marriage_to_your_fo,In which city or town did your marriage to your former spouse end?,,Termination city
PreviousMarriageTerminationProvince,b8f61a2f-da93-4ce3-8a2d-1e606833dd08_In_which_province_did_your_marriage_to_your_former,In which province did your marriage to your former spouse end?,,Termination province
PreviousMarriageTerminationCountry,8650ae98-a8f6-4a17-ad38-407c1c08d0b1_In_which_country_did_your_marriage_to_your_former_,In which country did your marriage to your former spouse end?,,Termination country
PreviousMarriageTerminationType,38f21007-e684-41c9-840f-dd03c5c8a53a_How_Marriage_Ended_with_Prior_Spouse_Select_one,How did your marriage to your former spouse end?,,Termination type
UniversityName,6bb3dcb5-156e-4838-b78a-dd6dd0a5fd55_Enter_the_Name_of_the_United_States_institution_of,Enter the name of the United States institution of higher education you attended,,University name
UniversityMajor,a73256bc-8f81-413c-a043-ab263bdbf76a_What_is_your_majorprimary_field_of_study,What is your major/primary field of study?,,Major/field of study
UniversityStartDate,UNIVERSITY_START_DATE,When did you start attending this university?,,University start date
UniversityDegreeReceivedDate,UNIVERSITY_DEGREE_RECEIVED_DATE,When did you receive your degree?,,Degree received date
UniversityEndDate,UNIVERSITY_END_DATE,When did you finish attending this university?,,University end date
TravelFromDate,TRAVEL_FROM_DATE,When did your travel begin?,,Travel start date
TravelToDate,TRAVEL_TO_DATE,When did your travel end?,,Travel end date
CountriesTraveled,COUNTRIES_TRAVELED,Which countries did you travel to?,,Countries traveled
TravelEntryStatus,TRAVEL_ENTRY_STATUS,What was your entry status during this travel?,,Entry status
TravelStatusType,TRAVEL_STATUS_TYPE,What type of status did you have?,,Status type
TravelPurpose,TRAVEL_PURPOSE,What was the purpose of your travel?,,Travel purpose
TravelComments,TRAVEL_COMMENTS,Do you have any additional comments about this travel?,,Travel comments
CurrentJobDescription,a1263d9d-c815-42ae-bb94-b57100bc3439_What_is_the_nontechnical_description_of_this_job,What is the job description of your current job?,,Job description
CurrentJobAdditionalInfo,JOB_ADDITIONAL_INFO,What additional information is there about your current job?,,Additional info
Prefix,PREFIX,What is your prefix/title?,,Prefix
Suffix,SUFFIX,What is your suffix?,,Suffix
Nickname,NICKNAME,What is your nickname or preferred first name?,,Nickname
NameAtBirth,NAME_AT_BIRTH,What was your name at birth (maiden name)?,,Name at Birth (Maiden Name)
ElisNumber,ELIS_NUMBER,"What is your ELIS number, if you have one?",,ELIS Number
PhoneExtension,PHONE_EXTENSION,"What is your phone extension, if you have one?",,Extension
PhoneType,PHONE_TYPE,What type of phone is this?,,Phone Type
EmailType,EMAIL_TYPE,What type of email is this?,,Email Type
IsPrimaryPhone,IS_PRIMARY_PHONE,Is this your primary phone number?,,Is this your primary phone number?
IsPrimaryEmail,IS_PRIMARY_EMAIL,Is this your primary email address?,,Is this your primary email address?
CurrentAddressInCareOfName,CURRENT_ADDRESS_IN_CARE_OF_NAME,In care of name for your current address,,In Care of Name
CurrentAddressAdditionalLine,CURRENT_ADDRESS_ADDITIONAL_LINE,Additional address line for your current address,,Additional Address Line
CurrentAddressStartDate,CURRENT_ADDRESS_START_DATE,When did you start living at this address?,,Date you started living here
IsCurrentPrimaryAddress,IS_CURRENT_PRIMARY_ADDRESS,Is this your current primary address?,,Is this your current address?
ForeignAddressInCareOfName,FOREIGN_ADDRESS_IN_CARE_OF_NAME,In care of name for your foreign address,,In Care of Name
ForeignAddressStartDate,FOREIGN_ADDRESS_START_DATE,When did you start living at this foreign address?,,Date you started living here
IsCurrentForeignAddress,IS_CURRENT_FOREIGN_ADDRESS,Is this your current foreign address?,,Is this your current address?
HasCurrentUSAddress,HAS_CURRENT_US_ADDRESS,Do you currently have a U.S. address?,,Do you currently have a U.S. address?
SupervisorName,SUPERVISOR_NAME,What is your supervisor's full name?,,Full name of supervisor
SupervisorTitle,SUPERVISOR_TITLE,What is your supervisor's job title?,,Supervisor's job title
SupervisorPhone,SUPERVISOR_PHONE,What is your supervisor's phone number?,,Supervisor's Phone #
SupervisorFax,SUPERVISOR_FAX,What is your supervisor's fax number?,,Supervisor's Fax #
SupervisorEmail,SUPERVISOR_EMAIL,What is your supervisor's email address?,,Supervisor's Email
NonTechnicalJobDescription,NON_TECHNICAL_JOB_DESCRIPTION,Provide a nontechnical job description.,,Job description
EmploymentStatus,EMPLOYMENT_STATUS,What is your employment status?,,Employment Status
OrganizationName,ORGANIZATION_NAME,What is the name of your organization?,,Organization name
WorksiteAddress,WORKSITE_ADDRESS,What is your worksite address?,,Worksite address
StreetName,STREET_NAME,Street Name,,Street Name
StreetNumber,STREET_NUMBER,Street Number,,Street Number
UnitNumber,UNIT_NUMBER,Unit #,,Unit #
CityOrTown,CITY_OR_TOWN,City or Town,,City or Town
StateField,STATE_FIELD,State,,State
ProvinceField,PROVINCE_FIELD,Province,,Province
ProvinceAbbreviation,PROVINCE_ABBREVIATION,Province Abbreviation,,Province Abbreviation
PostalZipCode,POSTAL_ZIP_CODE,Postal/Zip Code,,Postal/Zip Code
SchoolName,SCHOOL_NAME,Name of School,,Name of School
MajorFieldOfStudy,MAJOR_FIELD_OF_STUDY,Major field of study,,Major field of study
StatusType,STATUS_TYPE,Status type,,Status type
StatusExpirationDate,STATUS_EXPIRATION_DATE,Status expiration date,,Status expiration date
StatusValidFromDate,STATUS_VALID_FROM_DATE,Status valid from date,,Status valid from date
IsCurrentStatus,IS_CURRENT_STATUS,Is this current?,,Is this current?
FirstDateEntryStatus,FIRST_DATE_ENTRY_STATUS,First date of entry in status,,First date of entry in status
CountryIssuedDocument,COUNTRY_ISSUED_DOCUMENT,Country that issued the document,,Country that issued the document
EntryStatus,ENTRY_STATUS,Entry status,,Entry status
VisitFromDate,VISIT_FROM_DATE,From what date was your visit?,,From date
VisitToDate,VISIT_TO_DATE,To what date was your visit?,,To date
CountryVisited,COUNTRY_VISITED,Which country did you visit?,,Country visited
PurposeOfVisit,PURPOSE_OF_VISIT,What was the purpose of your visit?,,Purpose of visit
DocumentType,DOCUMENT_TYPE,What is the document type?,,What is the document Type?
IsMostRecentDocument,IS_MOST_RECENT_DOCUMENT,Is this your most recent document?,,Is this your most recent document?
AdditionalVisitsInfo,ADDITIONAL_VISITS_INFO,Do you have additional visits/stays information?,,Additional visits/stays - more information
HasTraveledToUS,HAS_TRAVELED_TO_US,Have you ever travelled to the U.S.?,,Have you ever travelled to the U.S.?
FormCurrentlyInUS,FORM_CURRENTLY_IN_US,Are you currently in the U.S.?,,Are you currently in the U.S.
HasCurrentPassport,HAS_CURRENT_PASSPORT,Do you have a current passport?,,Do you have a current passport?
HasLivedWorkedStudiedInUS,HAS_LIVED_WORKED_STUDIED_IN_US,"Are you currently or have you ever lived, worked, or studied in the U.S.?",,"Are you currently or have you ever lived, worked, or studied in the U.S.?"
IsMarriedOrHasChildren,IS_MARRIED_OR_HAS_CHILDREN,Are you married or have any children?,,Are you married or have any children?
HasUpcomingTravelPlans,HAS_UPCOMING_TRAVEL_PLANS,Do you have any international travel planned in the next six months?,,Do you have any upcoming travel plans?
FamilyIncludedInPetition,FAMILY_INCLUDED_IN_PETITION,Will your family be included in your nonimmigrant petition/application?,,Will your family be included in your nonimmigrant petition/application?
FamilyApplyingForVisaStamp,FAMILY_APPLYING_FOR_VISA_STAMP,Will you or your family be applying for a nonimmigrant visa stamp?,,Will you or your family be applying for a nonimmigrant visa stamp?
FamilyEmployedSinceLastEntry,FAMILY_EMPLOYED_SINCE_LAST_ENTRY,Have you and/or any family members been employed since your last entry into the U.S.?,,Have you and/or any family members been employed since your last entry into the U.S.?
HasNonProductiveEmployment,HAS_NON_PRODUCTIVE_EMPLOYMENT,"Not counting normal paid holiday and vacation time applicable to all employees of your employer, have you had any period(s) of non-productive employment, such as furlough, reduced hours, bench time, etc., since being approved for your current work-authorized status?",,Have you had any non-productive employment periods?
FamilyInExclusionDeportationProceedings,FAMILY_IN_EXCLUSION_DEPORTATION_PROCEEDINGS,Are you and/or any family members in exclusion/deportation proceedings?,,Are you and/or any family members in exclusion/deportation proceedings?
HasViolatedImmigrationStatus,HAS_VIOLATED_IMMIGRATION_STATUS,Have you or any of your family members ever violated your immigration status?,,Have you or any of your family members ever violated your immigration status?
HasBeenArrestedChargedConvicted,HAS_BEEN_ARRESTED_CHARGED_CONVICTED,"Have you ever been arrested, charged with or convicted of any crime or offense anywhere in the world (other than a traffic ticket), even if the arrest or conviction was later dismissed, expunged or pardoned?",,"Have you ever been arrested, charged with or convicted of any crime?"
HasBeenDeniedUSVisaEntry,HAS_BEEN_DENIED_US_VISA_ENTRY,Have you and/or any family member ever been denied an application for a U.S. visa or U.S. entry?,,Have you and/or any family member ever been denied an application for a U.S. visa or U.S. entry?
HasVisaPetitionFiled,HAS_VISA_PETITION_FILED,Has anyone ever filed a visa petition or application for permanent residence for you and/or your family?,,Has anyone ever filed a visa petition or application for permanent residence for you and/or your family?
UnderstandsDualRepresentation,UNDERSTANDS_DUAL_REPRESENTATION,"Do you understand and agree to dual representation, including the potential conflict of interest between you and your employer, as described in the disclosure below?","By selecting ""Yes,"" you confirm that you voluntarily and freely consent to such representation and acknowledge that the information you provide may be shared with your employer as required.",Do you understand and agree to dual representation?
AdditionalInformationRelevantToPetition,ADDITIONAL_INFORMATION_RELEVANT_TO_PETITION,Is there any additional information relevant to your petition?,,Additional information relevant to your petition
EmployerNameBasisWorkAuth,EMPLOYER_NAME_BASIS_WORK_AUTH,"If yes, please provide the employer name and basis for work authorization (visa type, EAD, etc.)",,Employer name and basis for work authorization
DatePlaceFilingDisposition,DATE_PLACE_FILING_DISPOSITION,"If yes, please give the date and place of filing and final disposition.",,Date and place of filing and final disposition
PreviousNonimmigrantStatus,PREVIOUS_NONIMMIGRANT_STATUS,What was your previous nonimmigrant status?,,Status during stay
FormDocument,FORM_DOCUMENT,Form,,
CurrentSpouseDateOfBirth,98e1aa6e-f379-41c5-b6ec-489291dbd774_What_is_your_spouses_date_of_birth,What is your spouse's date of birth?,,Spouse date of birth
CurrentSpouseMiddleName,98e1aa6e-f379-41c5-b6ec-489291dbd774_What_is_your_spouses_middle_name,What is your spouse's middle name?,,Spouse middle name
CurrentSpouseLastName,98e1aa6e-f379-41c5-b6ec-489291dbd774_What_is_your_spouses_last_name,What is your spouse's last name?,,Spouse last name
FileNumber,FILE_NUMBER,What is your file number?,,File number
Reserved,RESERVED,None,,
CapTableDocument,CAP_TABLE__DOC,Cap table,"If you have an ownership interest in this company, please upload a cap table that shows the breakdown of who else has ownership interest in your company. You will need to screenshot it or export it as a pdf in order to upload it.",
CompanyCapTableDocument,CAP_TABLE__DOC,Cap table,"If you have an ownership interest in this company, please upload a cap table that shows the breakdown of who else has ownership interest in your company. You will need to screenshot it or export it as a pdf in order to upload it.",
RecommenderCount,%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_COUNT,How many recommenders do you have?,,
RecommenderName,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_NAME,What is your recommenders full name?,,Recommender's full name
RecommenderEmail,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_EMAIL,What is your recommenders email?,,Recommender's email
RecommenderTitle,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_TITLE,What is your recommenders professional title?,,Title
RecommenderCompany,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_COMPANY,What organization does your recommender hold a title at?,,Organization
RecommenderBioLink,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_BIO__LINK,"Please add link to recommenders bio, faculty profile, or LinkedIn","If you have link for %(recommenderName)s, please provide it here",Link to bio or LinkedIn
RecommenderResumeDocument,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_RESUME__DOC,Recommenders resume or CV,"If you can find a resume or CV for %(recommenderName)s, please provide it here",
H1BAttorneyApproved,H1B_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
O1AAttorneyApproved,O1A_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
O1BAttorneyApproved,O1B_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
USCurrentAddressStreet,US_CURRENT_ADDRESS_STREET,What is the number and street of your current U.S. address?,This is the address where you receive mail.,Street name and number
USCurrentAddressType,US_CURRENT_ADDRESS_TYPE,"Does your current U.S. address have an apartment, suite, or floor number?",This address is where you receive mail. This cannot be a P.O. Box.,This address is a(n)
USCurrentAddressAptNumber,US_CURRENT_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of your current U.S. address?",This address is where you receive mail.,Apartment/suite/floor number
USCurrentAddressCity,US_CURRENT_ADDRESS_CITY,In which city is your current U.S. address?,This address is where you receive mail.,City/Town
USCurrentAddressStateAbbv,US_CURRENT_ADDRESS_STATE_ABBV,In which US state is your current U.S. address? Please enter the two-letter abbreviation for your state.,This address is where you receive mail.,U.S. State
USCurrentAddressZip,US_CURRENT_ADDRESS_ZIP,What is the zip code of your current U.S. address?,,Zip Code
CurrentAddressZip,CURRENT_ADDRESS_ZIP,What is the zip code of your current address?,,Zip Code
CurrentAddressPostalCode,CURRENT_ADDRESS_POSTAL_CODE,What is the postal code of your current address?,,Postal Code
CurrentAddressStreet,CURRENT_ADDRESS_STREET,What is the number and street of your current address?,,Street name and number
CurrentAddressType,CURRENT_ADDRESS_TYPE,"Does your current address have an apartment, suite, or floor number?",,This address is a(n)
CurrentAddressAptNumber,CURRENT_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of your current address?",,Apartment/suite/floor number
CurrentAddressCity,CURRENT_ADDRESS_CITY,In which city is your current address?,,City/Town
CurrentAddressStateAbbv,CURRENT_ADDRESS_STATE_ABBV,In which state is your current address?,,State
CurrentAddressProvince,CURRENT_ADDRESS_PROVINCE,In which province is your current address?,,Province
CurrentAddressCountry,CURRENT_ADDRESS_COUNTRY,In which country is your current address?,,Country
ForeignAddressStreet,FOREIGN_ADDRESS_STREET,What is the number and street of your address outside the U.S.?,This is the address where you receive mail.,Street name and number
ForeignAddressType,FOREIGN_ADDRESS_TYPE,"Does your address outside the U.S. have an apartment, suite, or floor number?",This address is where you receive mail. This cannot be a P.O. Box.,This address is a(n)
ForeignAddressAptNumber,FOREIGN_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of your address outside the U.S.?",This address is where you receive mail.,Apartment/suite/floor number
ForeignAddressCity,FOREIGN_ADDRESS_CITY,In which city is your address outside the U.S.?,This address is where you receive mail.,City/Town
ForeignAddressState,FOREIGN_ADDRESS_STATE,"In which state is your address outside the U.S., if there is one?",This address is where you receive mail.,State
ForeignAddressProvince,FOREIGN_ADDRESS_PROVINCE,"In which province is your address outside the U.S., if there is one?",This address is where you receive mail.,Province
ForeignAddressCountry,FOREIGN_ADDRESS_COUNTRY,"In which country is your address outside the U.S., if there is one?",This address is where you receive mail.,Country
ForeignAddressPostalCode,FOREIGN_ADDRESS_POSTAL_CODE,What is the postal code of your address outside the U.S.?,This address is where you receive mail.,Postal Code
ForeignAddressZipCode,FOREIGN_ADDRESS_ZIP,What is the zip code of your address outside the U.S.?,,Zip Code
PersonalOwnershipInterest,OWNERSHIP_INTEREST,"Do you have ownership interest (e.g, shares) in the organization you'll be employed at?",,
PersonalOwnershipExplanation,OWNERSHIP_EXPLANATION,Please explain your ownership interest in the organization you'll be employed at.,How many shares do you have? How many have vested and how many have you exercised?,Third-person explanation
PreviousNonimmigrantPetition,PREVIOUS_NONIMMIGRANT_PETITION,Has a nonimmigrant petition ever previously been filed on your behalf?,,
GivenClassificationLastSevenYears,GIVEN_CLASSIFICATION_LAST_SEVEN_YEARS,Have you ever been given the classification you are now requesting?,,
DeniedClassificationLastSevenYears,DENIED_CLASSIFICATION_LAST_SEVEN_YEARS,Have you ever been denied the classification you are now requesting?,,
PreviousPetitionsForDependents,PREVIOUS_PETITIONS_FOR_DEPENDENTS,Have you ever filed an immigrant petition or green card application in the United States for yourself or your dependents?,Dependents include spouses and children who you want accompanying you in the U.S.,
PreviousPetitionsForDependentsNumber,PREVIOUS_PETITIONS_FOR_DEPENDENTS_NUMBER,How many immigrant petitions have you filed?,,
InRemovalProceedings,IN_REMOVAL_PROCEEDINGS,Are you currently in removal proceedings?,"A ""removal proceeding"" is a hearing that happens at a U.S. immigration court. It's presided over by an immigration judge. The goal of the hearing is to decide if you can stay in the U.S. or if you will be deported (removed).",
YouOrDependentsInRemovalProceedings,YOU_OR_DEPENDENTS_IN_REMOVAL_PROCEEDINGS,Are you or your dependents in removal proceedings currently?,,
NamesOfPeopleInRemovalProceedings,NAMES_OF_PEOPLE_IN_REMOVAL_PROCEEDINGS,Please list the names of people in removal proceedings.,,Please list the names of people in removal proceedings
MilitaryTechnology,MILITARY_TECHNOLOGY,Does your work involve arms or military technology?,,
CompanyDayPhone,COMPANY_DAY_PHONE,What is the daytime phone number of the company employing you?,,Daytime Phone Number
CompanyMobilePhone,COMPANY_MOBILE_PHONE,What is the mobile phone number of the company employing you?,,Mobile Phone Number
CompanyEmail,COMPANY_EMAIL,What is the email address (if any) of the company employing you?,,Email Address (if any)
CompanyFax,COMPANY_FAX,What is the fax number of the company employing you?,,Fax Number
CompanyFEINExists,COMPANY_FEIN_EXISTS,Does the company have a Federal Employer Identification Number (FEIN)?,,
CompanyFEIN,COMPANY_FEIN,What is the Federal Employer Identification Number of the company employing you?,,"If yes, what is your Federal Employer Identification Number?"
CompanyMailAddressStreet,COMPANY_MAIL_ADDRESS_STREET,What is the street name and number of the mailing address of the company where you will work?,,Street name and number
CompanyMailAddressType,COMPANY_MAIL_ADDRESS_TYPE,"Does the mailing address of the company employing you have an Apartment, Suite, or Floor?",,This address is a(n)
CompanyMailAddressAptNumber,COMPANY_MAIL_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the mailing address of the company employing you?",,Number
CompanyMailAddressCity,COMPANY_MAIL_ADDRESS_CITY,What is the city of the address of the company employing you?,,City/town
CompanyMailAddressCounty,COMPANY_MAIL_ADDRESS_COUNTY,What is the county of the address of the company?,,County
CompanyMailAddressStateAbbv,COMPANY_MAIL_ADDRESS_STATE_ABBV,In which state is the mailing address of the company employing you?,Please use the 2-letter abbreviation for the state.,State
CompanyMailAddressZip,COMPANY_MAIL_ADDRESS_ZIP,What is the Zip code of the mailing address of the company employing you?,,Zip code
CompanyMailAddressProvince,COMPANY_MAIL_ADDRESS_PROVINCE,What is the province of the mailing address of the company employing you?,,Province
CompanyMailAddressPostalCode,COMPANY_MAIL_ADDRESS_POSTAL_CODE,What is the postal code of the address of the company employing you?,,Postal code
CompanyMailAddressCountry,COMPANY_MAIL_ADDRESS_COUNTRY,What is the country of the address of the company employing you?,,Country
CompanyMailAddressCount,COMPANY_MAIL_ADDRESS_COUNT,How many mail addresses does the company have?,,
MultiCompanyMailAddressStreet,%(count)s_COMPANY_MAIL_ADDRESS_STREET,What is the street name and number of the address of the company?,,Street name and number
MultiCompanyMailAddressType,%(count)s_COMPANY_MAIL_ADDRESS_TYPE,"Does the mailing address of the company have an Apartment, Suite, or Floor?",,This address is a(n)
MultiCompanyMailAddressAptNumber,%(count)s_COMPANY_MAIL_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the mailing address of the company?",,Number
MultiCompanyMailAddressCity,%(count)s_COMPANY_MAIL_ADDRESS_CITY,What is the city of the address of the company?,,City/town
MultiCompanyMailAddressCounty,%(count)s_COMPANY_MAIL_ADDRESS_COUNTY,What is the county of the address of the company?,,County
MultiCompanyMailAddressStateAbbv,%(count)s_COMPANY_MAIL_ADDRESS_STATE_ABBV,In which state is the mailing address of the company?,Please use the 2-letter abbreviation for the state.,State
MultiCompanyMailAddressZip,%(count)s_COMPANY_MAIL_ADDRESS_ZIP,What is the Zip code of the mailing address of the company?,,Zip code
MultiCompanyMailAddressProvince,%(count)s_COMPANY_MAIL_ADDRESS_PROVINCE,What is the province of the mailing address of the company employing you?,,Province
MultiCompanyMailAddressPostalCode,%(count)s_COMPANY_MAIL_ADDRESS_POSTAL_CODE,What is the postal code of the address of the company employing you?,,Postal code
MultiCompanyMailAddressCountry,%(count)s_COMPANY_MAIL_ADDRESS_COUNTRY,What is the country of the address of the company employing you?,,Country
WorkAddressSameAsCompanyAddress,WORK_ADDRESS_SAME_AS_COMPANY_ADDRESS,Will your employee work primarily at the company's mailing address?,,
WorkAddressStreet,WORK_ADDRESS_STREET,What is the street name and number of the address where the employee will work?,,Street name and number
WorkAddressType,WORK_ADDRESS_TYPE,"Does the address where the employee will work have an apartment, suite, or floor number?",,This address is a(n)
WorkAddressAptNumber,WORK_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the address where the employee will work?",,Apartment/suite/floor number
WorkAddressCity,WORK_ADDRESS_CITY,What is the city of the address where the employee will work?,,City/town
WorkAddressCounty,WORK_ADDRESS_COUNTY,What is the county of the address where the employee will work?,,County
WorkAddressStateAbbv,WORK_ADDRESS_STATE_ABBV,What is the state of the address where the employee will work? Please enter the two-letter abbreviation for your state.,,State
WorkAddressZIP,WORK_ADDRESS_ZIP,What is the ZIP code of the address where the employee will work?,,Zip code
WorkLocationCount,WORK_LOCATION_COUNT,How many work locations will this employee work at?,,Work location count
MultiSelectWorkLocation,%(workLocationCount)s_SELECT_WORK_LOCATION,Select work location,,Select work location
MultiWorkAddressStreet,%(workLocationCount)s_WORK_ADDRESS_STREET,What is the street name and number of the address where you will work?,,Street name and number
MultiWorkAddressType,%(workLocationCount)s_WORK_ADDRESS_TYPE,"Does the address where you will work have an apartment, suite, or floor number?",,This address is a(n)
MultiWorkAddressAptNumber,%(workLocationCount)s_WORK_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the address where you will work?",,Number
MultiWorkAddressCity,%(workLocationCount)s_WORK_ADDRESS_CITY,What is the city of the address where you will work?,,City or town
MultiWorkAddressCounty,%(workLocationCount)s_WORK_ADDRESS_COUNTY,What is the county of the address where you will work?,,County
MultiWorkAddressStateAbbv,%(workLocationCount)s_WORK_ADDRESS_STATE_ABBV,What is the state of the address where you will work? Please enter the two-letter abbreviation for your state.,,State
MultiWorkAddressZIP,%(workLocationCount)s_WORK_ADDRESS_ZIP,What is the ZIP code of the address where you will work?,,Zip code
MultiWorkAddressPostalCode,%(workLocationCount)s_WORK_ADDRESS_POSTAL_CODE,What is the postal code of the address where you will work?,,Postal code
CompanyName,COMPANY_NAME,What is the full legal name of your company?,,
FutureJobTitle,FUTURE_JOB_TITLE,What is your employee's future job title?,,
EmployerGrossIncome,EMPLOYER_GROSS_INCOME,What is the gross annual income of this business?,"Gross annual income is the amount of money the company earns in one year, before taxes and other deductions are taken out.",Business’ gross annual income
EmployerNetIncome,EMPLOYER_NET_INCOME,What is the net annual income of this business?,Net annual income is the amount of money the company has left after taxes and other deductions have been taken out.,
EmployerVCFunding,EMPLOYER_VC_FUNDING,"How much venture capital funding has this business raised, if any?",,
USArrivalDate,US_LAST_ARRIVAL_DATE,When did you last arrive in the U.S.?,"If you can’t remember, no worries! This information is on your most recent I-94 which you can access via the U.S. Customs and Border Protection website: [https://i94.cbp.dhs.gov/I94/#/recent-search](https://i94.cbp.dhs.gov/I94/#/recent-search)",I-94 Arrival date
I94DepartureDate,I94_DEPARTURE_DATE,When did you last depart?,,I-94 Departure date
USArrivalCity,US_LAST_ARRIVAL_CITY,Which city did you last arrive to in the U.S.?,,
USArrivalState,US_LAST_ARRIVAL_STATE,Which state did you last arrive to in the U.S.?,,
USArrivalTravelDocOrPassport,US_LAST_ARRIVAL_DOC_OR_PASSPORT,Did you use a passport or an alternative travel document when you last arrived to the U.S.?,Provide the number of the passport or travel document used to enter,
USArrivalPassport,US_LAST_ARRIVAL_PASSPORT,What was the passport number of the passport you used when you last arrived in the U.S.?,,
USArrivalTravelDoc,US_LAST_ARRIVAL_TRAVEL_DOC,What was the travel document number you used when you last arrived in the U.S.?,,
USArrivalTravelDocExpireDate,US_LAST_ARRIVAL_DOC_EXPIRE,When is the expiration date of the travel document or passport you used when you last arrived in the U.S.?,,
USArrivalTravelDocOrigin,US_LAST_ARRIVAL_DOC_ORIGIN,What country issued your passport or travel document you used when you last arrived in the U.S.?,,
CurrentPassportSameAsLastArrival,CURRENT_PASSPORT_SAME_LAST_ARRIVAL,Is your current passport different from the passport you used when you last arrived to the U.S.?,,
USArrivalI94Number,US_LAST_ARRIVAL_I94_NUMBER,What is the I-94 Arrival-Departure Record number for this arrival?,You can access your most recent I-94 documentation via the U.S. Customs and Border Protection website: [https://i94.cbp.dhs.gov/I94/#/recent-search](https://i94.cbp.dhs.gov/I94/#/recent-search),I-94 number
USArrivalI94Expiration,US_LAST_ARRIVAL_I94_EXPIRATION,What is the expiration date of your authorized stay for your I-94?,,I-94 expiration
USArrivalI94Status,US_LAST_ARRIVAL_I94_STATUS,What is the status on your I-94?,,I-94 status
PetitionReceiptNumber,PETITION_RECEIPT_NUMBER,What is the receipt number from your most recent petition or application?,"Don't worry if you don't have one or you don't remember, you can continue without filling this in.",
CurrentVisaStatus,CURRENT_VISA_STATUS,What is your current visa status?,,Current visa status
BeneficiaryCurrentVisaStatusExpiry,CURRENT_VISA_STATUS_EXPIRY,When does your current status expire?,"Your status validity dates can be found on your I-797 or I-94 as 'Expiration Date.' In some cases it will be listed as D/S, or 'Duration of Stay.'",Visa expiration
CurrentlyInUS,CURRENTLY_IN_US,Are you currently in the United States?,,
CountryOrNationality,COUNTRY_OR_NATIONALITY,What is your current country of citizenship or your current country of nationality?,,Country of citizenship
AdditionalCountryOrNationality,1_COUNTRY_OR_NATIONALITY,"What is your additional country of citizenship, if applicable?",,Additional country of citizenship
NationalityCount,NATIONALITY_COUNT,How many nationalities do you have?,,
